mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,n,permutation
0.11006454069781921,0.33175976353050896,0.3947419487041327,0.3901588349730686,0.39164577236808,0.3931783129708348,-0.480997507022053,1.6154847690235852,0.33824540225369426,0.2711050798139009,87,0
0.11221258488461802,0.3349814694645333,0.38529639645673874,0.3709218626017724,0.3875842615663113,0.3985819735013545,-0.242120641342609,1.2021334264439618,0.31681368672043236,0.28277434407857643,87,1
0.12234989993276474,0.34978550560702876,0.33865270801574315,0.27330892553786806,0.3487601754798164,0.35290875050854537,-0.7748102522183805,1.0737644889234412,0.3444966045908488,0.28693326123170576,87,2
0.11575319963683892,0.3402252189900668,0.3923143961458652,0.3577715398057183,0.39962564523419203,0.38040519358605734,-0.26119369379565743,1.0486626731734485,0.30227463614813826,0.28079375503700776,87,3
0.11876594862051783,0.34462435871615027,0.4053647726809119,0.3583276308275784,0.4035609822358624,0.3633928826147394,-0.2952977147876573,1.0188552893849336,0.30989315254375316,0.2815412164580624,87,4
0.11379985622960033,0.33734234277600006,0.3799393537811636,0.44417318937867484,0.38039097262544286,0.41394945782948156,-0.32333880411549826,1.549999594116951,0.3403062341279349,0.29134742124007407,87,5
0.13520990287382303,0.3677089921035696,0.3133733073149884,0.2939169808244235,0.3128601577659341,0.29571782813598346,-0.40203652571405984,1.1744311390192026,0.32911145344563963,0.2886960395298034,87,6
0.1193422671777913,0.345459501501683,0.34427440867699405,0.31321464901328694,0.34885583504906653,0.3372937946209084,-0.2342229196226735,1.0537803136555401,0.2998870946686638,0.2665290587108893,87,7
0.12064661491026453,0.3473422158480949,0.36919789001770215,0.30726792556214394,0.3729222106804842,0.357358078354407,-0.532084118008075,1.1219608058526063,0.3329951229884857,0.2853204789290657,87,8
0.11221166875532906,0.33498010202895495,0.40947153452760493,0.39555077445976483,0.4088755569728353,0.41094633571151445,-0.36431385132146854,1.3059291882959456,0.32691326849088187,0.2887602591973181,87,9
0.116495774159816,0.3413147728414579,0.3917577017622024,0.36001153768667493,0.4062215840818611,0.396453028452842,-0.34033161538357765,1.0276797028248474,0.3155790042010364,0.29197749248144994,87,10
0.11686021296378726,0.34184823089170324,0.3799576060560378,0.336586619838308,0.37956448297753587,0.37113566987220753,-0.2894563470043685,1.0691848096488097,0.31063518086273245,0.2806901042546041,87,11
0.11738369042821627,0.34261303306823615,0.3861268749635145,0.36580885954812353,0.3944547884952587,0.38446176464590737,-0.3287703994217164,1.1746952067137886,0.32998506392194354,0.28891347151146085,87,12
0.11376678145176754,0.3372933166426034,0.4018147052178818,0.3637233068137749,0.3986876884968095,0.37339038352105747,-0.4480221230769581,0.9813476718767284,0.31683048629947685,0.2721965233494437,87,13
0.11572766525222279,0.3401876912121054,0.3849130986843808,0.36083529104977785,0.3803956890668552,0.3755473343391686,-0.33477532566726187,1.017962794047966,0.30831200179654517,0.27669891291099796,87,14
0.14080526034583699,0.3752402701547863,0.29994875914502084,0.2649142049366202,0.29943694152063693,0.27987212674917505,-0.6382189606920514,1.1906702666555837,0.3535592781186335,0.29627216356696356,87,15
0.11861336012569514,0.34440290377070737,0.3891202480428818,0.377297524383264,0.3863666563032526,0.3864749431138778,-0.26906290561379587,1.1278240064099803,0.3215650512785634,0.29085999261449547,87,16
0.1132739576096219,0.33656196696837554,0.3935920553870586,0.363181308239088,0.40447451216667524,0.39392448353544923,-0.3418322751135209,1.1075873868038286,0.30965900785796896,0.2789127410429575,87,17
0.1163105187992743,0.34104327995032285,0.3627274585748014,0.31204948242563296,0.3652932134341142,0.3655861670938518,-0.47516410912351315,1.0640716107508583,0.31424943208284556,0.2745559741044177,87,18
0.12362533187442508,0.3516039417788502,0.3631198824845965,0.3335047007205536,0.36060644153340066,0.34770687400687744,-0.254209177065006,1.0651998294189073,0.31998220626581375,0.2889531848886446,87,19
0.10961451096801278,0.33108082241049963,0.43883944480017856,0.39697539801712206,0.44088004131954545,0.43034162123566727,-0.3463685969881363,1.3220840571369077,0.3374410320428555,0.2897746147661577,87,20
0.1151001769493887,0.3392641698579275,0.39644853640486954,0.35688313160903856,0.3997807935428412,0.3943460787502375,-0.558817232269749,1.3824430698249606,0.3431531491714529,0.2804773596615444,87,21
0.10516579144413743,0.32429275576882294,0.46838987782149416,0.43459734156154506,0.4569642170869291,0.4406510454182824,-0.32921745194972457,1.1979953500947271,0.32160624989435216,0.2811692893275384,87,22
0.10978950184467454,0.33134498916488014,0.42431063400032243,0.38488716899107256,0.4284084457862432,0.41753799015196,-0.3280340252016467,1.05166661324829,0.31525504184706976,0.28301008043120535,87,23
0.10473566689033934,0.32362890305153424,0.45599658318191827,0.3967873144348,0.4548186463008365,0.43636590595406155,-0.34442993108158526,1.0530409141604558,0.3265665385352289,0.282767683334534,87,24
0.11717563632053242,0.34230926998919037,0.3847944588976985,0.35805933629031245,0.38373738273722463,0.3675397894686943,-0.27592529250415454,1.2863166033528888,0.31572248267341757,0.2774124242691297,87,25
0.1175276548680205,0.34282306641767923,0.36509112817100914,0.33347269926487205,0.36597285037486793,0.36219443258622097,-0.327427089309169,1.0994202824474084,0.31708949331495295,0.27563323146535734,87,26
0.11247690600301259,0.33537576835992877,0.41459129762981556,0.377314554388973,0.4208487094107335,0.39917447015622903,-0.2274042274753862,1.1346374623630964,0.3166037166505562,0.2828795021885568,87,27
