galaxy_name,ra_deg,dec_deg,distance_mpc,stellar_mass_msun,effective_radius_kpc,lambda_R,V_over_sigma,ellipticity,fast_rotator_flag,fast_slow_class,T_type,KMAG_abs,source_reference
NGC2698,133.902222,-3.183882,27.1,34921266579.213326,1.654031399395047,0.593,0.569,0.516,1,F,-1.0,-23.32,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2699,133.953415,-3.127507,26.2,20095091452.076656,1.4583969594074773,0.444,0.45,0.143,1,F,-5.0,-22.72,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2764,137.072983,21.443447,39.6,30980611593.729446,2.3619442621952498,0.658,0.783,0.614,1,F,-2.0,-23.19,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2768,137.906265,60.037209,21.8,125629024346.68465,6.668542947018745,0.253,0.236,0.472,1,F,-4.4,-24.71,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2778,138.101639,35.027424,22.3,12796464228.91737,1.7134811137072614,0.572,0.574,0.224,1,F,-4.8,-22.23,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2824,139.759277,26.269999,40.7,24383159917.023968,1.4294496679054665,0.492,0.534,0.162,1,F,-2.0,-22.93,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2852,140.810684,40.163879,28.5,12220528465.904612,0.9781812161514521,0.368,0.32,0.135,1,F,1.0,-22.18,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2859,141.077286,34.513378,27.0,73635965740.25377,3.5232075100490494,0.359,0.41,0.089,1,F,-1.2,-24.13,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2880,142.394241,62.49062,21.3,25532302840.80617,2.157516184868545,0.581,0.627,0.282,1,F,-2.7,-22.98,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2950,145.646317,58.851219,14.5,24383159917.023968,1.0887858325082287,0.436,0.488,0.362,1,F,-2.0,-22.93,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2962,145.224609,5.16582,34.0,65931049201.040504,4.046256181770587,0.43,0.376,0.484,1,F,-1.1,-24.01,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC2974,145.638611,-3.699116,20.9,46035194986.97272,3.8523057150266546,0.663,0.813,0.407,1,F,-4.2,-23.62,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3032,148.034119,29.236279,21.4,10449367105.054768,1.3676917656949612,0.344,0.267,0.102,1,F,-1.9,-22.01,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3073,150.216843,55.618935,32.8,8454540073.709286,2.1451037524061873,0.145,0.136,0.124,1,F,-2.8,-21.78,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3098,150.569458,24.711092,23.0,20095091452.076656,1.46994909397122,0.635,0.744,0.553,1,F,-1.5,-22.72,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3156,153.171692,3.12932,21.8,11887485138.296074,1.836669239412231,0.648,0.771,0.478,1,F,-2.5,-22.15,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3182,154.887558,58.205818,34.0,30980611593.729446,3.443922548616457,0.306,0.372,0.166,1,F,0.4,-23.19,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3193,154.603683,21.893978,33.1,116705140822.02827,4.22087462883849,0.195,0.208,0.129,1,F,-4.8,-24.63,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3226,155.862549,19.898439,22.9,32440682835.870747,3.4309148621705674,0.251,0.273,0.168,1,F,-4.8,-23.24,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3230,155.93309,12.567883,40.8,77106321889.91795,3.59943737576842,0.609,0.617,0.55,1,F,-1.8,-24.18,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3245,156.826523,28.507435,20.3,49100960413.18377,2.4721253998324713,0.626,0.624,0.442,1,F,-2.1,-23.69,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3248,156.93927,22.84717,24.6,15384733831.281294,1.8902078653452303,0.511,0.514,0.374,1,F,-2.0,-22.43,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3301,159.233459,21.882166,22.8,33658130270.755707,2.205511394627807,0.603,0.676,0.507,1,F,-0.4,-23.28,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3377,161.926666,13.98564,10.9,20849228399.99127,1.8749986389576383,0.522,0.564,0.503,1,F,-4.8,-22.76,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3379,161.956665,12.58163,10.3,54336290609.374855,1.9879785017821843,0.157,0.152,0.104,1,F,-4.8,-23.8,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3384,162.070404,12.6293,11.3,41984596819.98187,1.7727720763604098,0.407,0.456,0.065,1,F,-2.7,-23.52,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3400,162.68959,28.468929,24.7,8771825569.145498,2.0336275284612073,0.664,0.764,0.437,1,F,0.7,-21.82,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3412,162.722137,13.412142,11.0,17182643793.0443,1.6480377067194867,0.406,0.375,0.441,1,F,-2.0,-22.55,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3414,162.817673,27.974968,24.5,64134245071.01458,2.8493155172218994,0.073,0.106,0.194,0,S,-2.0,-23.98,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3457,163.702591,17.621157,20.1,9355995128.158998,1.3145300433952554,0.104,0.109,0.033,1,F,-5.0,-21.89,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3458,164.006042,57.11697,30.9,29046244381.60826,1.720017788003475,0.461,0.438,0.231,1,F,-2.0,-23.12,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3489,165.077454,13.901258,11.7,25768550330.267532,1.269873091472115,0.589,0.687,0.262,1,F,-1.2,-22.99,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3499,165.79628,56.221664,26.4,9270218849.24101,1.1147523222476197,0.318,0.323,0.139,1,F,0.0,-21.88,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3522,166.668549,20.085621,25.5,7639940688.171528,1.2650702398933038,0.058,0.08,0.361,0,S,-4.9,-21.67,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3530,167.168411,57.23016,31.2,10353566731.599934,1.12131866911927,0.656,0.741,0.642,1,F,0.0,-22.0,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3595,168.856461,47.447147,34.7,33658130270.755707,2.3763145855287893,0.51,0.456,0.507,1,F,-3.3,-23.28,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3599,168.862305,18.110369,19.8,12679145539.68894,2.2502960048158664,0.282,0.273,0.08,1,F,-2.0,-22.22,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3605,169.19426,18.017141,20.1,8852990271.82134,1.6548952761971767,0.434,0.415,0.409,1,F,-4.5,-21.83,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3607,169.227737,18.051809,22.2,129148684546.11896,4.187235943506184,0.209,0.283,0.185,1,F,-3.1,-24.74,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3608,169.245697,18.148531,22.3,47324930734.03795,3.190651140749056,0.043,0.054,0.19,0,S,-4.8,-23.65,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3610,169.605316,58.786247,20.8,49100960413.18377,1.5982245365520642,0.53,0.642,0.381,1,F,-4.2,-23.69,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3613,169.650543,57.999924,28.3,83002273265.44135,3.6087840482214286,0.222,0.202,0.46,1,F,-4.7,-24.26,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3619,169.840088,57.757683,26.8,43963269908.61017,3.417505741778597,0.293,0.285,0.173,1,F,-0.9,-23.57,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3626,170.015808,18.356791,19.5,34283881631.795277,2.430015648025251,0.66,0.728,0.591,1,F,-1.0,-23.3,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3630,170.070786,2.96417,25.0,30136303918.712746,1.5258592245341762,0.648,0.639,0.665,1,F,-1.5,-23.16,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3640,170.278549,3.234764,26.3,113524601735.12764,3.9403083351565917,0.377,0.37,0.191,1,F,-4.9,-24.6,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3641,170.286621,3.194489,25.9,9017579649.404112,1.1718559324481646,0.243,0.331,0.125,1,F,-4.9,-21.85,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3648,170.631195,39.876972,31.9,27484635831.99006,2.0387554825079093,0.684,0.711,0.421,1,F,-2.0,-23.06,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3658,170.992706,38.562424,32.7,39363162854.51609,3.0208016618135987,0.546,0.462,0.243,1,F,-2.2,-23.45,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3665,171.181793,38.762791,33.1,152436857437.06018,4.959095281128638,0.41,0.463,0.216,1,F,-2.1,-24.92,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3674,171.61087,57.04829,33.4,32143264867.915268,1.8168577496756884,0.541,0.491,0.568,1,F,-1.9,-23.23,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3694,172.225571,35.413857,35.2,14291900598.816486,1.7869694272606438,0.256,0.269,0.268,1,F,-5.0,-22.35,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3757,174.261765,58.415649,22.6,11887485138.296074,0.976523947437648,0.126,0.119,0.153,1,F,-2.0,-22.15,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3796,175.129776,60.298958,22.7,8934905982.244528,1.2635729381125855,0.171,0.164,0.361,0,S,0.0,-21.84,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3838,176.057205,57.948101,23.5,16714369046.832329,1.249229758289814,0.676,0.743,0.605,1,F,0.0,-22.52,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3941,178.230667,36.986378,11.9,27484635831.99006,1.449176958522483,0.468,0.439,0.251,1,F,-2.0,-23.06,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3945,178.30719,60.67556,23.2,86914049889.36552,3.170023222812175,0.524,0.717,0.09,1,F,-1.2,-24.31,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC3998,179.484039,55.453564,13.7,35244389080.52428,1.3252414958947787,0.454,0.415,0.17,1,F,-2.1,-23.33,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4026,179.85495,50.961689,13.2,26735603202.0892,1.3066172578788349,0.548,0.54,0.556,1,F,-1.8,-23.03,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4036,180.362045,61.895699,24.6,94425650852.13858,3.4396128755200595,0.685,0.818,0.555,1,F,-2.6,-24.4,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4078,181.198456,10.595537,38.1,25768550330.267532,1.5363827929610825,0.523,0.575,0.561,1,F,-2.0,-22.99,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4111,181.763031,43.065392,14.6,33349550677.62691,0.8509956000976525,0.619,0.72,0.582,1,F,-1.4,-23.27,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4119,182.040176,10.37872,16.5,17992436846.686337,3.1846257552821395,0.701,0.895,0.598,1,F,-1.3,-22.6,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4143,182.40036,42.534218,15.5,28516090674.09963,1.8446167887483558,0.538,0.504,0.39,1,F,-1.9,-23.1,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4150,182.640228,30.401487,13.4,7500496055.407065,1.029625422586426,0.513,0.514,0.328,1,F,-2.1,-21.65,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4168,183.071808,13.205354,30.9,67156798921.551994,4.524107733276236,0.04,0.047,0.129,0,S,-4.8,-24.03,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4179,183.217087,1.299673,16.5,30696579639.382404,1.596093772428018,0.587,0.589,0.591,1,F,-1.9,-23.18,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4191,183.459915,7.200842,39.2,28516090674.09963,2.1820290385027907,0.107,0.105,0.269,0,S,-1.8,-23.1,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4203,183.770935,33.197243,14.7,39002279208.27112,2.1032543394175387,0.305,0.281,0.154,1,F,-2.7,-23.44,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4215,183.977142,6.401132,31.5,38644704163.18191,2.3114527101418343,0.553,0.516,0.702,1,F,-0.9,-23.43,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4233,184.282043,7.624434,33.9,58491126678.6735,2.5455061877261342,0.564,0.578,0.277,1,F,-2.0,-23.88,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4249,184.49765,5.59872,38.7,10164592841.668356,2.362030079578905,0.194,0.204,0.048,1,F,-1.3,-21.98,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4251,184.534607,28.175299,19.1,48650800102.297516,1.8055429595606947,0.584,0.637,0.508,1,F,-1.9,-23.68,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4255,184.7341,4.785923,31.2,25768550330.267532,1.904272312218652,0.606,0.622,0.434,1,F,-1.9,-22.99,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4259,184.842468,5.376242,37.2,12333603623.596542,1.3999657110313108,0.237,0.231,0.553,1,F,-2.0,-22.19,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4261,184.846924,5.82471,30.8,193682323738.8944,5.67708210635507,0.085,0.09,0.222,0,S,-4.8,-25.18,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4262,184.877426,14.877717,15.4,17992436846.686337,0.9399292823130526,0.309,0.297,0.117,1,F,-2.7,-22.6,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4264,184.899078,5.846804,37.5,26006983790.834778,2.5096070551285083,0.499,0.541,0.191,1,F,-1.1,-23.0,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4267,184.938675,12.798356,15.8,30696579639.382404,2.912269392221108,0.282,0.26,0.079,1,F,-2.7,-23.18,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4268,184.946762,5.28365,31.7,27232655176.080185,2.435755663879829,0.492,0.491,0.552,1,F,-0.3,-23.05,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4270,184.955978,5.463371,35.2,49100960413.18377,2.7676879464298034,0.406,0.378,0.543,1,F,-2.0,-23.69,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4278,185.02832,29.280619,15.6,54336290609.374855,2.3916578914807025,0.178,0.201,0.103,1,F,-4.8,-23.8,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4281,185.089691,5.38643,24.4,65931049201.040504,2.588000078751562,0.651,0.757,0.535,1,F,-1.5,-24.01,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4283,185.086609,29.310898,15.3,8611721709.038715,0.912569374029983,0.171,0.172,0.033,1,F,-4.8,-21.8,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4324,185.775726,5.250488,16.5,18158918815.070644,1.596093772428018,0.592,0.639,0.434,1,F,-0.9,-22.61,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4339,185.895599,6.081713,16.0,16258856087.489769,2.3425800560653656,0.325,0.311,0.06,1,F,-4.7,-22.49,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4340,185.897141,16.722195,18.4,26247623449.049633,3.314303549020907,0.458,0.499,0.227,1,F,-1.2,-23.01,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4342,185.912598,7.053936,16.5,11043074116.823093,0.5285163208554691,0.528,0.537,0.442,1,F,-3.4,-22.07,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4346,185.866425,46.993881,13.9,17182643793.0443,1.3139815255441705,0.576,0.571,0.533,1,F,-2.0,-22.55,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4350,185.990891,16.693356,15.4,29315005971.826668,1.2679297141013195,0.638,0.658,0.674,1,F,-1.8,-23.13,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4365,186.117615,7.31752,23.3,199108585462.59164,5.928302825888881,0.088,0.114,0.254,0,S,-4.8,-25.21,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4371,186.230957,11.704288,17.0,39363162854.51609,2.4323349503468137,0.482,0.541,0.309,1,F,-1.3,-23.45,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4374,186.265747,12.88696,18.5,183269412221.42236,4.707021557036236,0.024,0.026,0.147,0,S,-4.3,-25.12,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4377,186.301285,14.762218,17.8,15384733831.281294,1.164111182708236,0.473,0.443,0.157,1,F,-2.6,-22.43,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4379,186.311386,15.607498,15.8,12914868454.611897,1.4263678646049165,0.398,0.386,0.224,1,F,-2.8,-22.24,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4382,186.35022,18.19108,17.9,184965183214.0479,5.733601298977515,0.163,0.174,0.202,1,F,-1.3,-25.13,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4387,186.423813,12.810359,17.9,11670514082.202827,1.375395154052017,0.399,0.391,0.373,1,F,-4.9,-22.13,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4406,186.549225,12.94597,16.8,170251123678.61743,7.60122766993404,0.052,0.09,0.211,0,S,-4.8,-25.04,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4417,186.710938,9.584117,16.0,22860724346.999645,1.3794134031766305,0.548,0.542,0.566,1,F,-1.9,-22.86,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4425,186.805664,12.734803,16.5,11248380193.03935,1.9189267769045444,0.454,0.438,0.676,1,F,-0.6,-22.09,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4429,186.860657,11.10754,16.5,87718255691.455,3.3347125432140867,0.396,0.455,0.402,1,F,-1.1,-24.32,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4434,186.902832,8.154311,22.4,17182643793.0443,1.5697210319108315,0.288,0.249,0.058,1,F,-4.8,-22.55,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4435,186.918762,13.079021,16.7,55858592326.17387,2.5020208820195844,0.599,0.672,0.468,1,F,-2.1,-23.83,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4442,187.01622,9.80362,15.3,46461153401.705086,2.042988348051,0.363,0.35,0.335,1,F,-1.9,-23.63,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4452,187.180417,11.755,15.6,9270218849.24101,1.5090341121137625,0.648,0.765,0.88,1,F,-2.0,-21.88,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4458,187.239716,13.241916,16.4,8300227326.544135,1.8638815393424346,0.072,0.15,0.121,0,S,-4.8,-21.76,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4459,187.250107,13.97858,16.1,59032338410.32836,2.8340031909430263,0.438,0.477,0.148,1,F,-1.4,-23.89,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4461,187.262543,13.183857,16.5,27995613362.268616,2.009363009716048,0.511,0.486,0.392,1,F,-0.8,-23.08,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4472,187.444992,8.00041,17.1,336581302707.5571,7.917180918220034,0.077,0.073,0.172,0,S,-4.8,-25.78,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4473,187.453659,13.42932,15.3,52855475840.60772,1.9964842556944613,0.229,0.255,0.421,1,F,-4.7,-23.77,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4474,187.473099,14.068673,15.6,13399543008.211561,1.5090341121137625,0.446,0.439,0.57,1,F,-2.0,-22.28,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4476,187.49617,12.348669,17.6,8454540073.709286,1.3523438386209776,0.153,0.236,0.353,0,S,-3.0,-21.78,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4477,187.509048,13.636443,16.5,51890754683.859215,3.112134822876218,0.221,0.216,0.135,1,F,-1.9,-23.75,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4478,187.572662,12.328578,17.0,21631666912.87086,1.3062412077588987,0.233,0.221,0.165,1,F,-4.8,-22.8,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4483,187.66925,9.015665,16.7,8934905982.244528,1.406989738448819,0.465,0.474,0.346,1,F,-1.3,-21.84,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4486,187.705933,12.3911,17.2,232857369445.32867,6.77802093327637,0.021,0.024,0.037,0,S,-4.3,-25.38,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4486A,187.74054,12.270361,18.3,8771825569.145498,0.7727260415580091,0.351,0.379,0.224,1,F,-5.0,-21.82,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4489,187.717667,16.758696,15.4,7097248096.303695,1.9637906128130742,0.168,0.176,0.085,1,F,-4.8,-21.59,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4494,187.850143,25.774981,16.6,72291957897.78435,3.9416907383783997,0.212,0.219,0.173,1,F,-4.8,-24.11,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4503,188.025803,11.176434,16.5,31848573644.279884,2.2545423782931415,0.523,0.51,0.446,1,F,-1.8,-23.22,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4521,188.198853,63.939293,39.7,60686206002.33506,3.1215116895813404,0.682,0.794,0.566,1,F,-0.1,-23.92,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4526,188.512619,7.69914,16.4,115635181659.67471,3.5515530561538764,0.453,0.563,0.361,1,F,-1.9,-24.62,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4528,188.525269,11.321266,15.8,10841515298.808327,1.0820106758315524,0.096,0.112,0.392,0,S,-2.0,-22.05,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4546,188.87294,-3.793227,13.7,34283881631.795277,1.668380195946052,0.639,0.653,0.527,1,F,-2.7,-23.3,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4550,188.877548,12.220955,15.5,13276695259.500505,1.1638745106122443,0.105,0.122,0.649,0,S,-2.1,-22.27,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4551,188.908249,12.26401,16.1,12220528465.904612,1.2953893879109266,0.295,0.311,0.284,1,F,-4.9,-22.18,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4552,188.916183,12.55604,15.8,85327689698.42072,2.5955628279152543,0.049,0.051,0.047,0,S,-4.6,-24.29,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4564,189.112473,11.43932,15.8,27995613362.268616,1.5639812632186056,0.619,0.64,0.56,1,F,-4.8,-23.08,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4570,189.222504,7.246663,17.1,40465972960.24918,1.6541335459708553,0.603,0.586,0.626,1,F,-2.0,-23.48,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4578,189.377274,9.555121,16.3,19014722292.999065,2.5571844995287325,0.596,0.669,0.289,1,F,-2.0,-22.66,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4596,189.983063,10.176031,16.5,46461153401.705086,3.112134822876218,0.297,0.31,0.254,1,F,-0.9,-23.63,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4608,190.305374,10.155793,16.5,24608774517.92574,2.104061370871151,0.203,0.194,0.115,1,F,-1.9,-22.94,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4612,190.38649,7.314782,16.6,17182643793.0443,2.021540967350691,0.407,0.428,0.204,1,F,-2.0,-22.55,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4621,190.509674,11.64693,14.9,74317310942.3952,3.081489748694024,0.291,0.273,0.365,1,F,-4.8,-24.14,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4623,190.544601,7.676934,17.4,8148731104.432953,1.7223591126584643,0.598,0.66,0.673,1,F,-1.5,-21.74,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC4624,191.274826,3.055684,16.5,48204766885.94875,3.491872703542887,0.297,0.292,0.065,1,F,-0.6,-23.67,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
