galaxy_name,ra_deg,dec_deg,distance_mpc,stellar_mass_msun,effective_radius_kpc,lambda_R,V_over_sigma,ellipticity,fast_rotator_flag,fast_slow_class,T_type,KMAG_abs,source_reference
NGC5500,212.563522,48.546066,31.7,9707110803.719849,2.326128600364957,0.172,0.178,0.234,1,F,-4.9,-21.93,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5507,213.332825,-3.14886,28.5,30980611593.729446,1.699884128095066,0.495,0.479,0.252,1,F,-2.3,-23.19,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5557,214.607117,36.49369,38.8,145576068688.7992,5.425080470332451,0.049,0.048,0.169,0,S,-4.8,-24.87,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5574,215.233109,3.237995,23.2,13648659112.025024,1.5172685077994983,0.452,0.443,0.627,1,F,-2.8,-22.3,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5576,215.265381,3.271049,24.8,75004960554.07065,2.6304263095507676,0.102,0.097,0.306,0,S,-4.8,-24.15,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5582,215.179703,39.693584,27.7,33658130270.755707,3.6987436105237053,0.564,0.676,0.32,1,F,-4.9,-23.28,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5611,216.019897,33.047501,24.5,12447725052.840601,1.1877924029767533,0.691,0.816,0.559,1,F,-1.9,-22.2,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5631,216.638687,56.582664,27.0,49555286006.1427,2.734879670960127,0.11,0.171,0.127,0,S,-1.9,-23.7,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5638,217.418289,3.233443,25.6,54336290609.374855,3.4979566596548137,0.265,0.253,0.091,1,F,-4.8,-23.8,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5687,218.718201,54.475685,27.2,31848573644.279884,3.0209487870110507,0.479,0.486,0.379,1,F,-3.0,-23.22,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5770,223.312653,3.959721,18.5,11887485138.296074,1.5231623188879486,0.273,0.242,0.061,1,F,-2.0,-22.15,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5813,225.296936,1.70197,31.3,178274811941.62463,8.732101926479535,0.071,0.161,0.17,0,S,-4.8,-25.09,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5831,226.029266,1.219917,26.4,49100960413.18377,3.2149808155456765,0.063,0.088,0.136,0,S,-4.8,-23.69,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5838,226.359467,2.099356,21.8,73635965740.25377,2.654794764352112,0.521,0.521,0.361,1,F,-2.6,-24.13,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5839,226.364471,1.634633,22.0,16869025199.46638,1.7700973002509555,0.43,0.385,0.1,1,F,-2.0,-22.53,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5845,226.503281,1.633824,25.2,24159613763.21625,0.7708590929581302,0.404,0.402,0.264,1,F,-4.9,-22.92,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5846,226.621887,1.605637,24.2,165611307903.28433,6.908596446127677,0.032,0.037,0.062,0,S,-4.7,-25.01,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5854,226.948853,2.56856,26.2,34283881631.795277,2.3114034128708973,0.678,0.761,0.575,1,F,-1.1,-23.3,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5864,227.389786,3.052741,29.0,46035194986.97272,3.1475486882642167,0.603,0.63,0.695,1,F,-1.7,-23.62,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5866,226.623169,55.763309,14.9,65326589708.687515,2.622773139444167,0.319,0.349,0.566,1,F,-1.3,-24.0,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC5869,227.456055,0.469967,24.9,33349550677.62691,2.4647552819078022,0.428,0.433,0.245,1,F,-2.3,-23.27,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC6010,238.579773,0.543033,30.6,42373075511.332825,2.144351052521047,0.679,0.703,0.742,1,F,0.4,-23.53,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC6014,238.989105,5.931838,35.8,25768550330.267532,3.8855945875813425,0.387,0.418,0.419,1,F,-1.9,-22.99,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC6017,239.314529,5.998364,29.0,16714369046.832329,0.9953422901190215,0.429,0.441,0.455,1,F,-5.0,-22.52,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC6149,246.851151,19.59729,37.2,17992436846.686337,1.932490638491211,0.563,0.656,0.325,1,F,-1.9,-22.6,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC6278,255.209763,23.010956,42.9,77819777902.15746,3.4516897354893628,0.576,0.521,0.409,1,F,-1.9,-24.19,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC6547,271.291748,25.232645,40.8,45194957984.98446,2.2710914482375983,0.632,0.616,0.674,1,F,-1.3,-23.6,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC6548,271.496826,18.587217,22.4,30980611593.729446,2.4312100212799463,0.326,0.315,0.107,1,F,-1.9,-23.19,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC6703,281.828522,45.550648,25.9,56897081092.2666,2.747098444248584,0.041,0.043,0.019,0,S,-2.8,-23.85,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC6798,291.013306,53.624752,37.5,41984596819.98187,3.087491186935031,0.483,0.488,0.461,1,F,-2.0,-23.52,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC7280,336.614899,16.148266,23.7,22237706142.074356,2.4565341439993653,0.557,0.606,0.363,1,F,-1.3,-22.83,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC7332,339.352173,23.798351,22.4,51890754683.859215,1.8872197689373382,0.561,0.49,0.674,1,F,-1.9,-23.75,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC7454,345.27713,16.388371,23.2,26006983790.834778,2.8910955402146574,0.094,0.106,0.364,0,S,-4.7,-23.0,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC7457,345.249725,30.144892,12.9,14692306746.786812,2.270723053612735,0.519,0.546,0.47,1,F,-2.6,-22.38,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC7465,345.503967,15.964876,29.3,22033829626.7054,1.1283454428730737,0.283,0.343,0.364,1,F,-1.9,-22.82,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC7693,353.293671,-1.29201,35.4,7032180134.647089,2.21094388916864,0.616,0.686,0.233,1,F,-1.0,-21.58,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
NGC7710,353.942261,-2.880941,34.0,10258644661.248184,1.3710502614350868,0.34,0.293,0.581,1,F,-1.9,-21.99,ATLAS3D early-type lambda_R/Vsigma fast-slow catalog; pressure extension proxy
