gate,min,p10,median,p90,max
A_star,0.12419906901124167,0.3974280145338577,0.970221361510301,0.9987189619213019,0.9993546020088923
A_sigma,0.043484074940466244,0.5734395516005717,0.9378424457127348,0.9934390565393377,0.9976142870885315
A_gas,0.17327352017835443,0.41750598570194114,0.9419685267194015,0.9951654336388169,0.9972018597811483
A_HI,1.3709572068578448e-06,0.0321712825707571,0.8088254600269593,0.9786544024026607,0.9983385681894884
A_pred_final,2.927035484870912e-08,0.016100873510122286,0.33569227934576473,0.8546612256370337,0.9703089969176988
