galaxy_name,T,Vflat,e_Vflat,RHI,SBeff,SBdisk,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,A_gov_star_sigma,A_gov,maturity_class,A_gov_star_sigma_gas,v_newton_km_s,v_bdvr_full_km_s,A_implied,distance_to_half_activation,log10_velocity_error_full_bdvr,claim_boundary,stellar_to_gas_ratio,RHI_over_Rdisk,v_bdvr_full_source_km_s,v_full_normalization,btfr_v2_km2_s2
NGC6195,3.0,251.7,9.3,40.89,686.8,174.11,223344310000.0,195538000000.0,27806310000.0,13.94,0.8755002533979934,0.1244997466020065,182923489.21051624,8.262269476824219,0.7361366155553327,0.7258348024425874,mature,0.7258348024425874,214.33719395775708,324.93202320208917,1.0,0.5,-0.0079751319309507,diagnostic_governor_hypothesis_not_accepted_model,7.032144862083462,2.9332855093256818,247.1201071591818,vN2_plus_sqrt_GMbar_a0_Qeff1,59640.386988517836
NGC6503,6.0,116.3,2.4,14.05,774.16,398.87,8742020000.0,6422500000.0,2319520000.0000005,2.16,0.7346700190573804,0.2653299809426197,298211525.9791258,8.474524425074039,0.842022188725818,0.795835470234244,mature,0.795835470234244,107.72599238978094,152.98451468371306,1.0,0.5,-0.0245124053541111,diagnostic_governor_hypothesis_not_accepted_model,2.76889183969097,6.50462962962963,109.91761826701814,vN2_plus_sqrt_GMbar_a0_Qeff1,11799.372296648076
NGC6674,3.0,241.3,4.9,50.02,560.83,1370.35,150106450000.0,107327000000.0,42779450000.00001,6.04,0.7150059174672374,0.2849940825327626,654855694.5823767,8.816145608463174,0.9247403868674138,0.8637210573270883,mature,0.8637210573270883,221.11914261914083,312.70969039229965,1.0,0.5,-0.0246633774727682,diagnostic_governor_hypothesis_not_accepted_model,2.5088447841194776,8.281456953642385,227.9785275983578,vN2_plus_sqrt_GMbar_a0_Qeff1,48893.675232623944
NGC6946,6.0,158.9,10.9,21.25,571.26,2232.7,40627600000.0,33086500000.0,7541100000.0,2.44,0.8143848024495663,0.1856151975504337,1086079576.3840787,9.0358616469088,0.9721135048256384,0.9473391476584626,mature,0.9473391476584626,159.48938934178565,225.55205746175625,0.0,0.5,0.0206722651449263,diagnostic_governor_hypothesis_not_accepted_model,4.387489888743022,8.709016393442623,166.6464867800681,vN2_plus_sqrt_GMbar_a0_Qeff1,25436.865312615697
NGC7331,3.0,239.0,5.4,27.01,2470.76,1806.47,140034610000.0,125315500000.0,14719110000.0,5.02,0.894889484820931,0.1051105151790689,884398675.633949,8.946648083561472,0.9731565979129682,0.9619104405676248,mature,0.9619104405676248,217.31282111774829,307.32673890227795,1.0,0.5,-0.0246124387248864,diagnostic_governor_hypothesis_not_accepted_model,8.513796010764239,5.380478087649403,225.83199038228528,vN2_plus_sqrt_GMbar_a0_Qeff1,47224.86222215446
NGC7814,2.0,218.9,7.0,12.15,2709.13,2635.3,38687600000.0,37264500000.0,1423100000.0000002,2.54,0.9632156039661288,0.0367843960338713,954386939.1099893,8.979724487335302,0.9784542159534912,0.9727115043853686,mature,0.9727115043853686,157.5503783519389,222.80988182232446,1.0,0.5,-0.1252498148755768,diagnostic_governor_hypothesis_not_accepted_model,26.185440236104274,4.783464566929134,164.05744615059405,vN2_plus_sqrt_GMbar_a0_Qeff1,24822.12171883909
UGC00128,8.0,129.3,2.8,31.27,20.36,88.89,15893230000.000002,6010000000.0,9883230000.000002,5.95,0.378148431753646,0.621851568246354,71449364.2029914,7.85399836854531,0.1062849298035962,0.0348316890619571,transition,0.0348316890619571,87.5163270533972,153.52101246864635,1.0,0.5,-0.0056311223494298,diagnostic_governor_hypothesis_not_accepted_model,0.6081007929593867,5.25546218487395,127.6343004893086,vN2_plus_sqrt_GMbar_a0_Qeff1,15909.593768481085
UGC00731,10.0,73.3,2.3,11.57,25.63,82.57,2564810000.0,161500000.0,2403310000.0,2.3,0.0629676272316467,0.9370323727683532,77164875.15907827,7.887419657901373,0.0037074790088868,7.572788737090526e-05,juvenile,7.572788737090526e-05,56.54642622698138,97.9217636285003,0.6500113464725119,0.1500113464725119,0.0428241853733737,diagnostic_governor_hypothesis_not_accepted_model,0.06719898806229742,5.030434782608697,80.89620714811328,vN2_plus_sqrt_GMbar_a0_Qeff1,6391.173473072437
UGC01230,9.0,103.7,6.1,26.29,28.63,69.32,12361900000.0,3810000000.0,8551900000.0,4.34,0.3082050493856122,0.6917949506143878,104454197.95534536,8.01892589871753,0.0800503555542165,0.0156084774978943,transition,0.0156084774978943,90.37311035539408,148.99169461495998,0.4171682814060387,0.0828317185939613,0.0629069105769587,diagnostic_governor_hypothesis_not_accepted_model,0.445515031747331,6.057603686635945,119.86314453793428,vN2_plus_sqrt_GMbar_a0_Qeff1,14031.225988929258
UGC01281,8.0,55.2,3.5,5.26,13.83,135.78,567520000.0,176500000.0,391020000.0,1.63,0.3110022554271215,0.6889977445728784,33995864.84380763,7.531426093961837,0.0211136003617667,0.0042102917105701,transition,0.0042102917105701,31.596448121243306,63.282806389031464,0.9849428229873188,0.4849428229873187,0.0022205754936011,diagnostic_governor_hypothesis_not_accepted_model,0.4513835609431743,3.226993865030675,55.48296392428599,vN2_plus_sqrt_GMbar_a0_Qeff1,3006.3780505932223
UGC02487,0.0,332.0,3.5,40.2,818.14,1150.35,268868290000.0,244977500000.0,23890790000.000004,7.89,0.9111431474496304,0.0888568525503695,687393957.700468,8.837205710302111,0.9622641000771606,0.9527956148346134,mature,0.9527956148346134,255.8063962500976,361.7648749186741,1.0,0.5,-0.0994094064885474,diagnostic_governor_hypothesis_not_accepted_model,10.254056060933939,5.095057034220533,264.0758444401432,vN2_plus_sqrt_GMbar_a0_Qeff1,65436.912362461946
UGC02885,5.0,289.5,12.0,74.24,421.53,470.79,255062250000.0,201762500000.0,53299750000.00001,11.4,0.7910323852314484,0.2089676147685516,312360863.9861558,8.494656615411506,0.8641047240431288,0.836475518072315,mature,0.836475518072315,252.4573678120706,357.0286334808431,1.0,0.5,-0.0541896230989317,diagnostic_governor_hypothesis_not_accepted_model,3.785430513276328,6.512280701754385,255.5400320721392,vN2_plus_sqrt_GMbar_a0_Qeff1,63734.72256259909
UGC03205,2.0,219.6,8.6,28.6,587.26,3915.89,69691410000.0,56821000000.0,12870410000.0,3.19,0.8153228640373326,0.1846771359626674,1089978714.0991046,9.037418016803407,0.9723433771221336,0.9477886857228248,mature,0.9477886857228248,182.5245624593397,258.1287116962133,1.0,0.5,-0.061205436651144,diagnostic_governor_hypothesis_not_accepted_model,4.414855470804738,8.965517241379311,190.73346525301315,vN2_plus_sqrt_GMbar_a0_Qeff1,33315.2159009734
UGC03546,1.0,196.9,7.4,18.37,2403.42,922.21,54225750000.0,50668000000.0,3557750000.0,3.79,0.9343900268783742,0.0656099731216258,600824009.5352536,8.778747279189737,0.954652968498482,0.9471926194434268,mature,0.9471926194434268,171.42647505970544,242.43364597924855,1.0,0.5,-0.0478707049336982,diagnostic_governor_hypothesis_not_accepted_model,14.241585271590191,4.846965699208443,176.349816136099,vN2_plus_sqrt_GMbar_a0_Qeff1,29387.03635139581
UGC04278,7.0,91.4,4.8,8.9,34.11,377.42,2137780000.0,653500000.0,1484280000.0000002,2.21,0.3056909504252074,0.6943090495747926,69662425.88050865,7.842998593983464,0.0523228888281521,0.009997189107437,transition,0.009997189107437,52.66557732133028,92.7824214578532,1.0,0.5,-0.0727910828650482,diagnostic_governor_hypothesis_not_accepted_model,0.44028080955075855,4.027149321266968,77.29566054300169,vN2_plus_sqrt_GMbar_a0_Qeff1,5834.91469699368
UGC04325,9.0,90.9,2.7,6.61,41.0,213.22,1914740000.0,1013000000.0,901740000.0,1.86,0.5290535529628043,0.4709464470371957,88085424.82823893,7.944904053243674,0.3208655487926966,0.2207382695313109,transition,0.2207382695313109,54.33002616537036,92.05377820916071,1.0,0.5,-0.0823720702717288,diagnostic_governor_hypothesis_not_accepted_model,1.1233836804400381,3.553763440860215,75.19549333444107,vN2_plus_sqrt_GMbar_a0_Qeff1,5522.146339451523
UGC04499,8.0,72.8,2.4,8.67,33.79,127.3,2239000000.0,776000000.0,1463000000.0000002,1.73,0.3465832961143367,0.6534167038856633,119064425.00008453,8.075782018963324,0.1289970148407457,0.0338329545381176,transition,0.0338329545381176,60.917977548247,98.39945867373545,0.661072698609556,0.1610726986095559,0.0310465045225535,diagnostic_governor_hypothesis_not_accepted_model,0.530416951469583,5.011560693641618,78.19480191805823,vN2_plus_sqrt_GMbar_a0_Qeff1,5971.453478715445
UGC05005,10.0,98.9,7.2,21.61,25.63,65.59,6163690000.0,2050000000.0,4113690000.0,3.2,0.3325929759608286,0.6674070240391713,95798997.18614097,7.981360962953233,0.0945458463546271,0.022324170664155,transition,0.022324170664155,74.31678031298453,124.22035437414422,0.9213055970971392,0.4213055970971392,0.0079282658314438,diagnostic_governor_hypothesis_not_accepted_model,0.49833604379523005,6.753125,100.72205023784072,vN2_plus_sqrt_GMbar_a0_Qeff1,9907.712604749564
UGC05721,7.0,79.7,6.6,6.74,233.79,913.76,1012960000.0,265500000.0,747460000.0000001,0.38,0.2621031432633075,0.7378968567366925,1116465312.7033663,9.04784523458566,0.0935248716751313,0.0123927367342332,juvenile,0.0123927367342332,63.37596383972424,89.62714759060488,1.0,0.5,-0.0801521202630766,diagnostic_governor_hypothesis_not_accepted_model,0.3552029540042276,17.736842105263158,66.26835668384786,vN2_plus_sqrt_GMbar_a0_Qeff1,4016.512792614035
UGC06399,9.0,85.0,3.8,8.8,30.82,311.05,2044420000.0,1148000000.0,896420000.0000001,2.05,0.5615284530575909,0.4384715469424091,77425234.68314858,7.88888253041813,0.3095005115148081,0.2330888581358828,transition,0.2330888581358828,53.47485445385581,92.55075810941031,1.0,0.5,-0.0461120350515209,diagnostic_governor_hypothesis_not_accepted_model,1.280649695455255,4.292682926829269,76.43757326734134,vN2_plus_sqrt_GMbar_a0_Qeff1,5706.082767765517
UGC06446,7.0,82.2,4.3,10.33,37.05,86.46,2328070000.0,494000000.0,1834070000.0,1.49,0.2121929323430996,0.7878070676569003,166895116.60013014,8.222443629281738,0.0386257099011324,0.0032777883689771,juvenile,0.0032777883689771,66.93393602930357,102.80672444298007,1.0,0.5,-0.0174584484831169,diagnostic_governor_hypothesis_not_accepted_model,0.2693463172070859,6.932885906040268,78.96113258769162,vN2_plus_sqrt_GMbar_a0_Qeff1,6089.070798319934
UGC06614,1.0,199.8,16.0,60.63,1461.61,540.54,91286040000.0,62175000000.0,29111040000.000004,5.1,0.6811008561659592,0.3188991438340408,558578412.1985577,8.747084147182726,0.8960745616661903,0.8152348982632992,mature,0.8152348982632992,195.2664340028341,276.1484392430389,0.8650959343549492,0.3650959343549492,0.0015139771935309,diagnostic_governor_hypothesis_not_accepted_model,2.1357876599393215,11.88823529411765,200.49773051019417,vN2_plus_sqrt_GMbar_a0_Qeff1,38128.98024818317
UGC06667,6.0,83.8,3.1,8.59,18.06,614.94,1774470000.0,698500000.0,1075970000.0,5.15,0.3936386639390917,0.6063613360609084,10648154.27913188,7.027274334924381,0.0067476563253235,0.0024474546439,transition,0.0024474546439,31.432013146060825,79.39773546895943,1.0,0.5,-0.0553124928482238,diagnostic_governor_hypothesis_not_accepted_model,0.6491816686338838,1.6679611650485435,73.7787895627693,vN2_plus_sqrt_GMbar_a0_Qeff1,5316.028947184716
UGC06786,0.0,219.4,7.8,20.31,992.73,1078.52,43393400000.0,36703500000.0,6689900000.000001,3.6,0.8458313937142514,0.1541686062857485,532891520.6453594,8.726638809814512,0.9400364380599208,0.9224225190027476,mature,0.9224225190027476,162.13710829964705,229.29649752131616,1.0,0.5,-0.1203952687472606,diagnostic_governor_hypothesis_not_accepted_model,5.486404878996696,5.641666666666667,166.2805125376458,vN2_plus_sqrt_GMbar_a0_Qeff1,26288.44188777147
UGC06917,9.0,108.7,3.5,12.67,53.07,261.11,6106590000.0,3416000000.0,2690590000.0000005,2.76,0.5593956692687736,0.4406043307312265,127585326.60359402,8.105800729702338,0.4761320136694461,0.3566828995136179,transition,0.3566828995136179,79.65009925774248,127.30220717626439,1.0,0.5,-0.0341154930977393,diagnostic_governor_hypothesis_not_accepted_model,1.2696100111871371,4.590579710144928,100.48796491916458,vN2_plus_sqrt_GMbar_a0_Qeff1,9861.713640180313
UGC06930,7.0,107.2,5.1,16.76,73.93,189.16,8771210000.0,4466000000.0,4305210000.000001,3.94,0.5091657821440827,0.4908342178559173,89926397.76836969,7.953887196986764,0.3043727884734925,0.19593859355682,transition,0.19593859355682,79.89564825473207,134.91615844156448,0.8932983744584888,0.3932983744584888,0.0112344523330886,diagnostic_governor_hypothesis_not_accepted_model,1.037347771653415,4.253807106598985,110.00925857420476,vN2_plus_sqrt_GMbar_a0_Qeff1,11819.055198585462
UGC06983,6.0,109.0,5.8,16.07,53.56,121.57,6595110000.0,2649000000.0,3946110000.000001,3.21,0.4016612308210174,0.5983387691789827,101866670.23173186,8.008032110383153,0.1823414098717776,0.0695545849861411,transition,0.0695545849861411,76.7538177984189,127.04226224781706,1.0,0.5,-0.0269566266120371,diagnostic_governor_hypothesis_not_accepted_model,0.6712940085299192,5.006230529595015,102.44007112447892,vN2_plus_sqrt_GMbar_a0_Qeff1,10248.587850410238
UGC07125,9.0,65.2,2.1,23.04,28.11,103.0,7512569999.999999,1356000000.0,6156569999.999999,3.38,0.1804974862131068,0.8195025137868931,104658682.36615306,8.019775262749231,0.0197016908013481,0.0012464777138904,juvenile,0.0012464777138904,79.83207120362623,131.5727751579399,0.0,0.5,0.210363897624577,diagnostic_governor_hypothesis_not_accepted_model,0.2202525107324371,6.816568047337278,105.83065726999256,vN2_plus_sqrt_GMbar_a0_Qeff1,10938.235570100962
UGC07151,6.0,73.5,2.8,6.39,76.71,965.67,1961280000.0,1142000000.0,819280000.0,1.25,0.5822728014357971,0.417727198564203,199774340.34385467,8.300539705297789,0.6383726614109158,0.5040815362760809,transition,0.5040815362760809,67.07431940184374,100.4381344948145,0.7381574390375445,0.2381574390375445,0.0125119212746422,diagnostic_governor_hypothesis_not_accepted_model,1.3939068450346646,5.112,75.64831524757771,vN2_plus_sqrt_GMbar_a0_Qeff1,5588.854537577897
UGC07399,8.0,103.0,3.3,7.85,113.98,135.78,1568850000.0,578000000.0,990850000.0,1.64,0.3684227300251776,0.6315772699748223,92835452.28648128,7.967713857599678,0.1277470849226893,0.0391751426359674,transition,0.0391751426359674,52.373339671746784,87.98586811792056,1.0,0.5,-0.1582775087510418,diagnostic_governor_hypothesis_not_accepted_model,0.5833375384770652,4.786585365853659,71.54177580168246,vN2_plus_sqrt_GMbar_a0_Qeff1,4998.546280091945
UGC07524,9.0,79.5,3.6,12.11,29.71,106.86,3584070000.0,1218000000.0,2366070000.0,3.46,0.3398371125563953,0.6601628874436046,47647971.60675011,7.678044417277685,0.0455131993532365,0.0113525765439297,transition,0.0113525765439297,54.49939403523283,102.59289393231117,0.7029351818070767,0.2029351818070767,0.0438913525897012,diagnostic_governor_hypothesis_not_accepted_model,0.5147776692997249,3.5,87.95458448342596,vN2_plus_sqrt_GMbar_a0_Qeff1,7555.1179351988785
UGC07603,7.0,61.6,2.8,4.37,81.81,520.99,531140000.0,188000000.0,343140000.0,0.53,0.3539556425801107,0.6460443574198893,300938257.29380333,8.47847740168307,0.2091732586454741,0.0578969392340187,transition,0.0578969392340187,53.605339526734014,76.03916772502603,1.0,0.5,-0.0526140994129014,diagnostic_governor_hypothesis_not_accepted_model,0.5478813312350644,8.245283018867925,54.57159064874437,vN2_plus_sqrt_GMbar_a0_Qeff1,2908.422602538209
UGC08286,6.0,82.4,2.3,8.07,39.52,1488.78,1481360000.0,627500000.0,853860000.0000001,1.05,0.4235972349732678,0.5764027650267323,213846500.22549653,8.33010214706329,0.3326274763412864,0.1444846880157582,transition,0.1444846880157582,63.60293230613589,94.3530767995098,1.0,0.5,-0.0675976978659623,diagnostic_governor_hypothesis_not_accepted_model,0.7348979926451642,7.685714285714286,70.52279461903211,vN2_plus_sqrt_GMbar_a0_Qeff1,4857.170103595289
UGC08490,9.0,78.6,3.8,7.8,124.98,576.54,1466100000.0,508500000.0,957600000.0,0.67,0.3468385512584407,0.6531614487415592,519797420.5101981,8.715834119988067,0.2126571712251293,0.0558801847180644,transition,0.0558801847180644,69.51321923812193,98.3065374107664,1.0,0.5,-0.0426713856184661,diagnostic_governor_hypothesis_not_accepted_model,0.5310150375939849,11.641791044776118,71.24447006491319,vN2_plus_sqrt_GMbar_a0_Qeff1,4832.087648847206
UGC08550,7.0,56.9,1.9,5.59,45.38,1284.78,527540000.0,144500000.0,383040000.0,0.45,0.2739128786442734,0.7260871213557266,414620240.38863456,8.617650499095362,0.0994301030290115,0.0145845327972755,juvenile,0.0145845327972755,53.83817774827711,76.13868114506687,1.0,0.5,-0.015796618855572,diagnostic_governor_hypothesis_not_accepted_model,0.3772451963241437,12.42222222222222,54.86756003829323,vN2_plus_sqrt_GMbar_a0_Qeff1,2898.5493832550806
UGC09133,2.0,226.8,4.2,60.35,1284.78,864.63,185922240000.0,141463000000.0,44459240000.0,6.97,0.7608718569655787,0.2391281430344212,609096240.0185618,8.78468591858822,0.9360156036354964,0.8960018242545874,mature,0.8960018242545874,233.27024151484508,329.89393924834127,0.0,0.5,0.0246669924686676,diagnostic_governor_hypothesis_not_accepted_model,3.1818582593854505,8.658536585365853,240.05460564924272,vN2_plus_sqrt_GMbar_a0_Qeff1,54415.00557639415
UGC10310,9.0,71.4,3.9,9.58,28.37,158.79,2461180000.0,870500000.0,1590680000.0,1.8,0.3536921314166375,0.6463078685833624,120897828.03670071,8.082418498709004,0.139283585848868,0.0384787918419298,transition,0.0384787918419298,62.61478841403559,100.90261490870215,0.4728280083144021,0.0271719916855978,0.0497519929830916,diagnostic_governor_hypothesis_not_accepted_model,0.5472502326049237,5.322222222222222,80.066382090813,vN2_plus_sqrt_GMbar_a0_Qeff1,6260.725967279396
UGC11455,6.0,269.4,7.4,43.44,571.26,9568.2,204896550000.0,187161000000.0,17735550000.000004,5.93,0.913441441546966,0.086558558453034,927353661.0363078,8.967245390827602,0.9757966648422332,0.9664110810031528,mature,0.9664110810031528,239.00674905675288,338.0065860147629,1.0,0.5,-0.0347416889707183,diagnostic_governor_hypothesis_not_accepted_model,10.552872620245775,7.325463743676223,248.6886142865566,vN2_plus_sqrt_GMbar_a0_Qeff1,57124.22609467765
UGC11914,2.0,288.1,10.5,9.26,2425.66,3168.33,76195040000.0,75014000000.0,1181040000.0,2.44,0.98449977846327,0.0155002215367299,2036888144.1622913,9.3089671803468,0.9930788550074092,0.9883624272826174,mature,0.9883624272826174,186.64148385420052,263.9509177680494,1.0,0.5,-0.1624049397149833,diagnostic_governor_hypothesis_not_accepted_model,63.51520693625957,3.7950819672131146,198.21582233861105,vN2_plus_sqrt_GMbar_a0_Qeff1,34835.043495297796
UGC12632,9.0,71.7,2.8,12.6,13.09,66.81,2970020000.0000005,650500000.0,2319520000.0000005,2.42,0.2190220941273122,0.7809779058726878,80713981.98241085,7.906948773530353,0.0240197856196242,0.002169378054233,juvenile,0.002169378054233,59.32168592694667,101.9636973966053,0.4603360351660011,0.0396639648339989,0.0683350482353658,diagnostic_governor_hypothesis_not_accepted_model,0.28044595433537967,5.206611570247934,83.91782204522788,vN2_plus_sqrt_GMbar_a0_Qeff1,6877.5331655711925
UGCA442,9.0,56.4,2.1,4.37,7.6,116.1,419790000.00000006,70000000.0,349790000.00000006,1.18,0.1667500416875104,0.8332499583124896,47983089.31380839,7.681088205881671,0.0070566729810951,0.0003923017470508,juvenile,0.0003923017470508,31.938647562480995,60.0476737357238,1.0,0.5,-0.0398567213295,diagnostic_governor_hypothesis_not_accepted_model,0.2001200720432259,3.703389830508475,51.45438392407321,vN2_plus_sqrt_GMbar_a0_Qeff1,2585.64591295156
