galaxy_name,T,Vflat,e_Vflat,RHI,SBeff,SBdisk,M_baryon_Msun,M_star_Msun,M_gas_Msun,Rdisk_kpc,f_star,f_gas,Sigma_baryon_Msun_kpc2,log10_Sigma_b,A_gov_star_sigma,A_gov,maturity_class,A_gov_star_sigma_gas,v_newton_km_s,v_bdvr_full_km_s,A_implied,distance_to_half_activation,log10_velocity_error_full_bdvr,claim_boundary,stellar_to_gas_ratio,RHI_over_Rdisk,v_bdvr_full_source_km_s,v_full_normalization,btfr_v2_km2_s2
F583-1,9.0,85.8,3.6,15.65,11.19,60.93,3320580000.0,493000000.0,2827580000.0,2.36,0.1484680387161279,0.8515319612838721,94887733.57729214,7.97721007350196,0.0124676066455833,0.0005827180184611,juvenile,0.0005827180184611,63.5173621461452,106.33229803388309,0.9752101366470044,0.4752101366470044,0.0024805595421997,diagnostic_governor_hypothesis_not_accepted_model,0.17435404126496862,6.63135593220339,86.29146602759424,vN2_plus_sqrt_GMbar_a0_Qeff1,7272.10231116198
IC4202,4.0,242.6,11.0,32.13,391.59,8888.53,106268080000.0,89874500000.0,16393580000.0,4.78,0.8457337330268883,0.1542662669731117,740230835.6333491,8.869367172445768,0.9617094735606552,0.9436721794762768,mature,0.9436721794762768,202.82767468835732,286.84164836887305,1.0,0.5,-0.0631031329347157,diagnostic_governor_hypothesis_not_accepted_model,5.482298558338081,6.7217573221757325,209.7913915226709,vN2_plus_sqrt_GMbar_a0_Qeff1,41139.065619486115
NGC0024,5.0,106.3,7.9,7.29,151.65,1182.58,2843580000.0,1944500000.0,899080000.0000001,1.34,0.6838210987557938,0.3161789012442063,252043780.9519115,8.401475985917836,0.7853626911934626,0.7162449635294088,mature,0.7162449635294088,78.00488619946532,113.20029921203879,1.0,0.5,-0.1074025413310721,diagnostic_governor_hypothesis_not_accepted_model,2.1627663834141564,5.440298507462686,83.0100591249191,vN2_plus_sqrt_GMbar_a0_Qeff1,6729.545470703575
NGC0100,6.0,88.1,6.4,16.36,64.99,1193.52,4262700000.0,1616000000.0,2646700000.0,1.66,0.3791024468060149,0.620897553193985,246200383.1898038,8.391288724537977,0.2475247759715309,0.0816399210386158,transition,0.0816399210386158,85.80840348533991,124.90988105768709,0.371210947874995,0.1287890521250049,0.0181096442728357,diagnostic_governor_hypothesis_not_accepted_model,0.6105716552688253,9.855421686746988,91.85135187873628,vN2_plus_sqrt_GMbar_a0_Qeff1,8239.396277142641
NGC0801,5.0,220.1,6.2,44.99,818.14,1558.94,187142330000.0,156285000000.0,30857330000.0,8.72,0.8351130393642101,0.1648869606357899,391705071.1381973,8.59295919409849,0.9057423542067708,0.8868908718486853,mature,0.8868908718486853,233.65200456150845,330.4338337265455,0.0,0.5,0.0335696823142131,diagnostic_governor_hypothesis_not_accepted_model,5.064760949829425,5.159403669724771,237.7878854327841,vN2_plus_sqrt_GMbar_a0_Qeff1,54593.25923561118
NGC0891,3.0,216.1,5.7,18.16,1617.45,5067.92,75104460000.0,69170000000.0,5934460000.0,2.55,0.9209839202625252,0.0790160797374749,1838253911.149189,9.26440549866864,0.9902027686284448,0.981364379587435,mature,0.981364379587435,185.97001889440784,263.00132291525233,1.0,0.5,-0.0401980949115302,diagnostic_governor_hypothesis_not_accepted_model,11.655651904301319,7.121568627450981,196.99566617863684,vN2_plus_sqrt_GMbar_a0_Qeff1,34584.84792758641
NGC1003,6.0,109.8,4.2,33.33,140.87,1345.33,11230400000.0,3410000000.0,7820400000.0,1.61,0.3036401196751674,0.6963598803248326,689546573.3957869,8.838563604646323,0.1422813562876586,0.0267371588548037,transition,0.0267371588548037,115.6445870046507,163.5461433570124,0.0,0.5,0.0363757592757086,diagnostic_governor_hypothesis_not_accepted_model,0.43603907728504937,20.701863354037265,119.39278955280356,vN2_plus_sqrt_GMbar_a0_Qeff1,13373.670503476227
NGC1090,4.0,164.4,3.7,30.49,283.68,2055.09,47703890000.0,36022500000.0,11681390000.0,3.53,0.7551270976014745,0.2448729023985255,609290653.0196078,8.784824515769072,0.9344752102096356,0.892271848750169,mature,0.892271848750169,166.02173646450927,234.79019135684086,0.0,0.5,0.0167174293331434,diagnostic_governor_hypothesis_not_accepted_model,3.0837511631749304,8.637393767705383,170.8516756429056,vN2_plus_sqrt_GMbar_a0_Qeff1,27563.216978690973
NGC2403,6.0,131.2,4.9,15.11,341.06,1408.74,9275170000.0,5020500000.0,4254670000.0,1.39,0.5412838794329377,0.4587161205670624,764033514.5787768,8.883112409462322,0.7281133473124252,0.5195676440307543,transition,0.5195676440307543,110.24451032869754,155.90928168402485,1.0,0.5,-0.0605548548670959,diagnostic_governor_hypothesis_not_accepted_model,1.17999750861994,10.870503597122303,114.12452426744402,vN2_plus_sqrt_GMbar_a0_Qeff1,12153.852057614306
NGC2841,3.0,284.8,8.6,45.12,983.63,4751.49,107061250000.0,94060500000.0,13000750000.000002,3.64,0.8785671753318778,0.1214328246681222,1286025778.2195086,9.109249674051874,0.9825675027448064,0.9692267056680238,mature,0.9692267056680238,203.20508926920851,287.3753931877502,1.0,0.5,-0.1256033236803658,diagnostic_governor_hypothesis_not_accepted_model,7.235005672749648,12.395604395604394,213.27338466257805,vN2_plus_sqrt_GMbar_a0_Qeff1,41292.30830490702
NGC2903,4.0,184.6,5.6,13.76,632.16,1193.52,44325660000.0,40931500000.0,3394160000.0000005,2.33,0.9234267464940172,0.0765732535059827,1299461750.0434136,9.113763500466842,0.9851546585750944,0.97657168271267,mature,0.97657168271267,163.0010139476626,230.51824460535047,1.0,0.5,-0.0329206633571905,diagnostic_governor_hypothesis_not_accepted_model,12.059390246776815,5.90557939914163,171.124043373264,vN2_plus_sqrt_GMbar_a0_Qeff1,26569.330547966092
NGC2998,5.0,209.9,8.1,43.58,479.55,774.16,106640830000.0,75451000000.0,31189830000.0,6.2,0.7075245007001539,0.292475499299846,441530052.8075565,8.644960269237012,0.8891085775960723,0.8262052992718101,mature,0.8262052992718101,203.0053027491536,287.0928523815092,1.0,0.5,-0.0056040485800147,diagnostic_governor_hypothesis_not_accepted_model,2.4190898122881723,7.0290322580645155,207.20889274251493,vN2_plus_sqrt_GMbar_a0_Qeff1,41211.152944275505
NGC3109,9.0,66.2,2.6,6.0,11.4,140.87,731410000.0,97000000.0,634410000.0,1.56,0.1326205548187747,0.8673794451812253,47833463.562969744,7.679731828746212,0.004716651573281,0.0001894390324243,juvenile,0.0001894390324243,36.66567030775728,68.97353913109752,1.0,0.5,-0.049153405545554,diagnostic_governor_hypothesis_not_accepted_model,0.15289796819091755,3.846153846153846,59.11593785206482,vN2_plus_sqrt_GMbar_a0_Qeff1,3412.9777211518876
NGC3198,5.0,150.1,3.9,35.66,178.99,1602.62,33595270000.0,19139500000.0,14455770000.000002,3.14,0.569708176180754,0.430291823819246,542299209.4006718,8.734238971292958,0.7672280508700658,0.5892351621089128,transition,0.5892351621089128,152.08838113024217,215.08545127375677,0.0,0.5,0.0168683320086505,diagnostic_governor_hypothesis_not_accepted_model,1.3240041865635659,11.35668789808917,156.04470059288224,vN2_plus_sqrt_GMbar_a0_Qeff1,23130.875674817802
NGC3521,4.0,213.7,15.9,18.85,2232.7,2112.66,47942820000.0,42418000000.0,5524820000.0,2.4,0.8847623064308691,0.1152376935691309,1324711248.049476,9.122121223899192,0.9835536347597388,0.970991406509063,mature,0.970991406509063,166.22923152259304,235.08363368210829,1.0,0.5,-0.0877569299257024,diagnostic_governor_hypothesis_not_accepted_model,7.677716197088774,7.854166666666668,174.60134796360407,vN2_plus_sqrt_GMbar_a0_Qeff1,27632.15741259184
NGC3741,10.0,50.1,2.1,4.2,42.94,143.49,256060000.0,14000000.0,242060000.0,0.2,0.0546746856205576,0.9453253143794424,1018830368.2027694,9.008101881468578,0.0084791342839517,0.0001596685608424,juvenile,0.0001596685608424,44.93781360356508,63.551665461555906,1.0,0.5,-0.0288969924375985,diagnostic_governor_hypothesis_not_accepted_model,0.0578368999421631,21.0,46.87494092727479,vN2_plus_sqrt_GMbar_a0_Qeff1,2019.4070914687588
NGC3893,5.0,174.0,8.9,20.84,1573.37,2055.09,36975170000.0,29262500000.0,7712670000.000001,2.38,0.7914094783066582,0.2085905216933418,1038906340.8592529,9.01657639694944,0.9670717469365128,0.9362629106451356,mature,0.9362629106451356,155.77725548258672,220.30230741273272,1.0,0.5,-0.0294917803645679,diagnostic_governor_hypothesis_not_accepted_model,3.7940816863680147,8.756302521008404,162.57638703501456,vN2_plus_sqrt_GMbar_a0_Qeff1,24266.553325687095
NGC3917,6.0,135.9,4.1,14.08,112.94,1226.96,13494040000.0,10983000000.0,2511040000.0,2.63,0.8139148839043014,0.1860851160956985,310492152.3051884,8.492050627850366,0.8664234144955778,0.8442412307403525,mature,0.8442412307403525,121.0770975444322,171.22887344010618,1.0,0.5,-0.0449474661134458,diagnostic_governor_hypothesis_not_accepted_model,4.373884924174844,5.353612167300381,122.53833940050562,vN2_plus_sqrt_GMbar_a0_Qeff1,14659.66354978395
