galaxy_name,v_flat_obs_km_s,model,v_pred_km_s,velocity_ratio_pred_over_obs,log10_velocity_error,abs_log10_velocity_error,Vflat_km_s,e_Vflat,sigma_logv_obs_dex,sigma_total_dex,loglike_i
F583-1,85.8,m3_scalar_q_only,80.91172071273222,0.943027047933942,-0.0254758506348925,0.0254758506348925,85.8,3.6,0.018222146093842734,0.03510052148138754,2.1672101686178675
IC4202,242.6,m3_scalar_q_only,192.4458981168877,0.7932642131776082,-0.1005821377597833,0.1005821377597833,242.6,11.0,0.019691835535596742,0.035885489919478465,-1.5195388031669625
NGC0024,106.3,m3_scalar_q_only,77.83488946769137,0.7322190918879715,-0.1353589515081645,0.1353589515081645,106.3,7.9,0.03227588341519934,0.04406509559993646,-2.514814279953356
NGC0100,88.1,m3_scalar_q_only,86.12498167458007,0.9775820848419986,-0.0098467659042565,0.0098467659042565,88.1,6.4,0.031549201863573344,0.04353564215936753,2.1896587397173755
NGC0801,220.1,m3_scalar_q_only,221.6924782761499,1.0072352488693772,0.0031309157908279,0.0031309157908279,220.1,6.2,0.01223364737755639,0.03239848959686844,2.50603551810232
NGC0891,216.1,m3_scalar_q_only,176.45110492904183,0.8165252426147239,-0.0880303846458347,0.0880303846458347,216.1,5.7,0.011455245473616545,0.032112655587179524,-1.2377930529970542
NGC1003,109.8,m3_scalar_q_only,109.725294847765,0.9993196252073316,-0.0002955835832978,0.0002955835832978,109.8,4.2,0.016612357231271926,0.034292425005814225,2.453855113410375
NGC1090,164.4,m3_scalar_q_only,157.52387947023948,0.9581744493323568,-0.0185554142145826,0.0185554142145826,164.4,3.7,0.009774267536752018,0.03155212046566767,2.364252373072302
NGC2403,131.2,m3_scalar_q_only,104.60162221580975,0.7972684620107453,-0.0983954151937436,0.0983954151937436,131.2,4.9,0.016219839644252547,0.034104005601765706,-1.7026639531984995
NGC2841,284.8,m3_scalar_q_only,192.8039946541868,0.6769803183082402,-0.1694239572740528,0.1694239572740528,284.8,8.6,0.013114229439494259,0.032741151687008474,-10.888310469612971
NGC2903,184.6,m3_scalar_q_only,154.65777326155927,0.8377994217852616,-0.0768599437069035,0.0768599437069035,184.6,5.6,0.013174697175829957,0.032765418441930844,-0.25186160460115214
NGC2998,209.9,m3_scalar_q_only,192.61443424857305,0.9176485671680468,-0.0373236091707507,0.0373236091707507,209.9,8.1,0.016759339225423248,0.03436386839796722,1.8619724894463996
NGC3109,66.2,m3_scalar_q_only,55.43042056589863,0.8373175312069279,-0.0771098157226465,0.0771098157226465,66.2,2.6,0.017056882975052184,0.03450995880647534,-0.04875232906872462
