quality,coherence_quartile,n,scatter_std
W50_only,Q1_low,91,0.17065345268312893
W50_only,Q2,91,0.1311299225939462
W50_only,Q3,90,0.08100015755643358
W50_only,Q4_high,91,0.09104981816052847
