mass_bin,coherence_quartile,n,scatter_std
low,Q1_low,30,0.1650874550417875
low,Q2,4,0.21413378476299058
mid,Q1_low,50,0.1742768489573712
mid,Q2,62,0.12405837662695204
mid,Q3,34,0.07097847807951377
mid,Q4_high,21,0.08202721969541979
high,Q1_low,11,0.14525957677274678
high,Q2,25,0.11871334591251874
high,Q3,56,0.08060768359952017
high,Q4_high,70,0.09089701767137309
