variant,spearman_rho,spearman_p,n
full,-0.3257496411097765,2.40261376435659e-09,320
bulge_only,0.056760437744928734,0.3114403232893743,320
gas_only,-0.2250996103477573,4.840185159610502e-05,320
kinematics_only,-0.3680152093009953,4.381762467618814e-13,363
sparc_style,-0.00781611636832391,0.889233701337329,320
