coherence_quartile,n,mean_residual,scatter_std,scatter_sem,abs_mean_residual
Q1_low,22,0.011558267558584051,0.0752713364616819,0.01604790285467476,0.011558267558584051
Q2,22,0.018567872480805683,0.042399483746051105,0.009039600307766156,0.018567872480805683
Q3,21,0.030598443619440824,0.048010735559230626,0.010476801422413445,0.030598443619440824
Q4_high,22,0.08678396024692009,0.04897434243765741,0.010441364890753532,0.08678396024692009
