fold,model_family,uses_angular_momentum,feature_template,endpoint_delta,endpoint_stretch,ridge_alpha,rank_loss_alpha,monotone_calibration,mse_bounded,rmse_bounded,spearman_A_rank_A_inferred,pearson_A_rank_A_inferred,spearman_A_bounded_A_inferred,pearson_A_bounded_A_inferred,prediction_min,prediction_max,prediction_std,bounded_prediction_std,objective
0,censored_latent,False,full,0.15,0.0,1.0,0.0,False,0.08556198074934972,0.292509795988698,0.5624355005159958,0.5082022996003006,0.5624355005159958,0.5082022996003006,0.02737759662659031,0.7253552826394485,0.2104242194692499,0.2104242194692499,-0.14617892732368576
1,censored_latent,False,full,0.15,0.0,0.1,0.0,False,0.05002827598609953,0.22367001584052237,0.5252874184572581,0.6395032261940903,0.5252874184572581,0.6395032261940903,0.11737499338850212,0.7129114478073131,0.17951102333280752,0.17951102333280752,-0.10633438110903032
2,censored_latent,False,full,0.15,0.0,1.0,0.0,False,0.13645180425827952,0.3693938335412213,0.1271977901524372,0.13768755545802996,0.1271977901524372,0.13768755545802996,0.024735184437087138,0.8088487732351083,0.21939553928769545,0.21939553928769545,-0.2313724980154595
3,censored_latent,False,full,0.15,0.5,5.0,0.0,False,0.12205307166676531,0.34936094754102853,0.5064559871146387,0.41582832244515205,0.5064559871146387,0.41582832244515205,0.014899409778793948,0.6336058408185535,0.1548968916774654,0.1548968916774654,-0.17151253837993702
4,censored_latent,False,full,0.15,1.0,0.1,0.0,False,0.07473668200249607,0.27338010535241236,-0.0760269916044553,0.12973221815712266,-0.0760269916044553,0.12973221815712266,0.08272866150434138,0.6269579694195218,0.1429556274214693,0.1429556274214693,-0.18454805074374236
