galaxy_id,gass_id,sdss_id,stellar_mass_msun,hi_mass_msun,h2_mass_msun,sfr_msun_yr,radius_kpc,velocity_proxy_km_s,inclination_deg,source_xgass,source_xcold,hi_flag,co_flag,molecular_measurement_note,gas_mass_msun,baryon_mass_msun,f_star,f_gas,specific_sfr_yr,molecular_to_atomic_ratio,depletion_time_hi_yr,depletion_time_h2_yr,stellar_surface_density_msun_kpc2,sigma_b_msun_kpc2,log10_sigma_b,external_maturity_index,external_maturity_class,m9_threshold_proxy_activation,m9_threshold_proxy_class,btfr_offset_dex
GASS11834,11834,J000047.89+141639.1,35695681352.64261,4008664288.989304,954050822.2052094,0.8298594355583191,1.809332942077424,179.5,90.0,True,False,1,,xGASS_angular_momentum_linear_mass,6600411097.888703,42296092450.53131,0.8439474969086467,0.15605250309135332,2.3248174684215216e-11,0.2379971864507896,6424610332.674946,1529039183.2193084,1735396938.8344078,2056285426.7488353,9.313083397608453,0.7184163701067616,stellar-dominated,1.0,mature,-0.08892756931714807
GASS11825,11825,J000210.19+140810.3,49645109565.384995,1753882258.0695128,75678360.1179887,0.0620131008327007,1.6082833963687306,221.7379630481232,62.11967011990795,True,False,1,,xGASS_angular_momentum_linear_mass,2433315622.189377,52078425187.57437,0.9532759369465351,0.04672406305346485,1.2491280888609274e-12,0.043149053917272306,37615654948.87161,1623079923.5223718,3054720281.504271,3204444970.3502755,9.505752817883442,0.7322064056939501,stellar-dominated,1.0,mature,-0.36567237591879476
GASS124028,124028,J000602.39+142502.8,1519800653.9375868,2570394879.6691976,170667988.9925406,0.1345794796943664,3.835594429925007,90.32303307973234,73.27037268637137,True,True,0,2.0,xGASS_angular_momentum_linear_mass,3645613615.320112,5165414269.257699,0.29422628558231617,0.7057737144176838,8.855074469516128e-11,0.06639757585204382,25402276764.06405,1686649598.256553,16441498.61199601,55880454.66249189,7.747259931024966,0.12855871886120995,gas-rich,1.0,mature,0.1909411018860947
GASS124012,124012,J000629.29+141056.5,6480977337.099413,868960688.7966908,584826308.5711942,0.1616237461566925,3.4695159484947604,127.5,90.0,True,True,1,1.0,xGASS_angular_momentum_linear_mass,1933536706.4992874,8414514043.598701,0.7702140971563038,0.2297859028436961,2.4938174869321154e-11,0.6730181423753968,7150667792.213793,4812529154.259307,85688562.67157143,111252913.94683753,8.046311394884059,0.5889679715302492,transition,1.0,mature,-0.1959817038263143
GASS11910,11910,J000632.57+154004.7,18166649705.20719,2618184342.0593853,224649714.41718453,0.186957761645317,2.0766181609992787,176.38297539718633,58.25762115842563,True,False,1,,xGASS_angular_momentum_linear_mass,3780969295.1138377,21947619000.32103,0.8277275865296124,0.17227241347038752,1.0291262543127498e-11,0.08580362765460656,18625518107.908978,1598137020.6051543,670473593.8194945,810017214.2752522,8.908494248490145,0.5974199288256228,transition,1.0,mature,-0.34340924957998276
GASS11956,11956,J000820.76+150921.6,7975923054.321699,1455459438.541432,552442438.6906154,0.4737958908081054,2.999088771634334,144.4385821688425,79.45667384496345,True,True,1,2.0,xGASS_angular_momentum_linear_mass,2670509496.718623,10646432551.040321,0.7491639115810984,0.2508360884189017,5.940326750662199e-11,0.3795656711974315,4085643397.9587154,1550769978.6195548,141131008.67776465,188384686.57667977,8.275045596941231,0.5155693950177935,transition,1.0,mature,-0.3104987640066046
GASS12044,12044,J002032.65+152050.4,10648057997.970142,7943275370.132687,4514805209.789866,4.169886112213135,5.236656523078927,108.4701920164012,36.15870048876954,True,False,0,,xGASS_angular_momentum_linear_mass,16569247171.296997,27217305169.26714,0.3912238163091021,0.6087761836908979,3.9161001123472914e-10,0.5683808000369562,2533535918.7230697,1440013172.4061835,61799130.041126914,157963619.45485455,8.19855707626267,0.28380782918149466,gas-rich,1.0,mature,0.5946334826178585
GASS124007,124007,J002314.86+144834.3,1881504271.7211173,3019948537.2543654,221985774.58333236,0.1819673031568527,0.8595598199477257,81.47673732291402,55.94059276337425,True,False,0,,xGASS_angular_momentum_linear_mass,4311772634.744139,6193276906.465256,0.30379786018561294,0.696202139814387,9.67137337351868e-11,0.07350647596967141,22072820143.331604,1622495223.4486837,405296756.1717646,1334100101.706241,9.125188417277403,0.26734875444839856,gas-rich,1.0,mature,0.4488159750982543
GASS124000,124000,J002343.86+141824.2,1975974064.1366284,2511884225.153631,271321741.9547646,0.2190095484256744,3.5253697707393328,101.37564049755252,76.32050365259964,True,True,0,2.0,xGASS_angular_momentum_linear_mass,3701663936.254166,5677638000.390795,0.34802748325987337,0.6519725167401266,1.1083624648756069e-10,0.10801522587617274,15254156923.610588,1647681205.6543818,25304165.4847963,72707377.15245777,7.86157847817763,0.16058718861209964,gas-rich,1.0,mature,0.03146325011555007
GASS124025,124025,J002536.49+140655.0,984120556.7216321,3019948537.2543654,380989679.66212976,0.3450637757778168,2.200029981942148,61.36151883848681,40.07021620605575,True,False,0,,xGASS_angular_momentum_linear_mass,4523247828.498939,5507368385.220571,0.17869161601075975,0.8213083839892403,3.5063161054913455e-10,0.12615767287495325,11639968714.463127,1468471365.353929,32360202.933034044,181095250.3282835,8.257907060014404,0.10854092526690391,gas-rich,0.0,juvenile,0.8903897194273256
