object_name,source_family,sfr_msun_yr,sfe_per_yr,depletion_time_yr,endpoint_overlap,proxy_only,crossmatch_role
GASS4048,xGASS,1.5357849597930908,2.9739256905280485e-10,3362558799.5860133,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3987,xGASS,0.0443304888904094,2.321145599733737e-11,43082174600.10746,False,True,SFR_SFE_HI_depletion_proxy_only
GASS4056,xGASS,0.3354247212409973,7.526531778961405e-10,1328633199.6833622,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3981,xGASS,4.368001937866211,2.1691167177971456e-09,461017146.65477,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3985,xGASS,0.0181232504546642,2.1589187882997535e-11,46319482021.254974,False,True,SFR_SFE_HI_depletion_proxy_only
GASS4057,xGASS,0.4893918037414551,6.466316853546404e-11,15464754088.744621,False,True,SFR_SFE_HI_depletion_proxy_only
GASS3980,xGASS,0.0532243363559246,4.18899810075038e-11,23872056657.67356,False,True,SFR_SFE_HI_depletion_proxy_only
GASS12069,xGASS,4.094358444213867,4.248011215508024e-10,2354042749.108912,False,True,SFR_SFE_HI_depletion_proxy_only
GASS14260,xGASS,0.083456352353096,4.280154413022392e-11,23363643072.256805,False,True,SFR_SFE_HI_depletion_proxy_only
GASS14017,xGASS,0.2479371428489685,1.8379829476014275e-10,5440746886.716238,False,True,SFR_SFE_HI_depletion_proxy_only
GASS21842,xGASS,0.1169825494289398,2.4553908418972844e-11,40726713765.344925,False,True,SFR_SFE_HI_depletion_proxy_only
GASS107019,xGASS,0.0596174038946628,2.6507747421116934e-10,3772481999.746865,False,True,SFR_SFE_HI_depletion_proxy_only
GASS13775,xGASS,0.368879497051239,3.0682065544998655e-11,32592329826.471066,False,True,SFR_SFE_HI_depletion_proxy_only
GASS36125,xGASS,1.1350857019424438,4.624111630388148e-11,21625775498.764503,False,True,SFR_SFE_HI_depletion_proxy_only
GASS17029,xGASS,1.9209126234054563,9.851619930995318e-11,10150614893.838776,False,True,SFR_SFE_HI_depletion_proxy_only
GASS51334,xGASS,0.8051168322563171,2.2225876207072065e-10,4499260189.714408,False,True,SFR_SFE_HI_depletion_proxy_only
GASS107005,xGASS,0.8893722891807556,4.256806400025675e-10,2349178952.5451956,False,True,SFR_SFE_HI_depletion_proxy_only
GASS51276,xGASS,2.4908998012542725,3.28364458279912e-10,3045396585.3623443,False,True,SFR_SFE_HI_depletion_proxy_only
GASS107026,xGASS,0.3835070729255676,8.990280943282335e-11,11123122918.057573,False,True,SFR_SFE_HI_depletion_proxy_only
GASS51351,xGASS,2.103257179260254,4.374135374154852e-10,2286166097.8958955,False,True,SFR_SFE_HI_depletion_proxy_only
GASS51416,xGASS,0.1279522031545639,4.457050810816324e-11,22436360778.59401,False,True,SFR_SFE_HI_depletion_proxy_only
GASS51462,xGASS,0.0958991199731826,4.975248465570361e-11,20099498686.752728,False,True,SFR_SFE_HI_depletion_proxy_only
GASS51390,xGASS,0.8944240212440491,3.247460475434457e-11,30793292406.929646,False,True,SFR_SFE_HI_depletion_proxy_only
GASS51336,xGASS,0.6134785413742065,2.598957821276755e-10,3847696148.8691783,False,True,SFR_SFE_HI_depletion_proxy_only
GASS56375,xGASS,1.2568777799606323,1.0697772396207791e-10,9347740473.09593,False,True,SFR_SFE_HI_depletion_proxy_only
GASS19132,xGASS,0.0339447744190692,5.711796934882691e-11,17507625207.977356,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108143,xGASS,0.1219906955957412,4.338367610748445e-10,2305014442.580817,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108136,xGASS,0.109828382730484,4.88331064236439e-10,2047791085.262236,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108080,xGASS,0.0224796440452337,1.9265888433103738e-10,5190521078.08194,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108065,xGASS,0.2712809443473816,9.62541535715824e-10,1038916205.5810077,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108145,xGASS,0.0741098970174789,9.308424635456975e-10,1074295639.8775284,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108052,xGASS,0.0928066149353981,9.875950005142117e-10,1012560816.4068563,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108078,xGASS,0.0222093779593706,1.2346284505572322e-10,8099602755.376843,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108013,xGASS,0.0201523881405591,8.115701432264634e-11,12321793850.429468,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108150,xGASS,0.1424840688705444,1.5986982492891707e-10,6255089104.179791,False,True,SFR_SFE_HI_depletion_proxy_only
GASS56319,xGASS,0.4725092947483063,1.072532108446906e-09,932373019.0679913,False,True,SFR_SFE_HI_depletion_proxy_only
GASS108116,xGASS,0.1638939976692199,1.5401485855604549e-09,649288003.362418,False,True,SFR_SFE_HI_depletion_proxy_only
