model_name,rmse_logj_median,rmse_logj_p05,rmse_logj_p95,base_rmse_logj_median,rmse_improvement_vs_base_median,mae_logj_median,spearman_median,pearson_median,resid_a_rho_median,base_resid_a_rho_median,abs_resid_a_rho_reduction_median,n
gas_extent,0.05542068387124523,0.053992443602862705,0.057283285970625805,0.055767682613784536,4.414298810460557e-05,0.04406251120826684,0.9926733250710796,0.9941481257138567,-0.724200073252002,-0.7498353933128036,0.024941733615582273,32
morphology,0.055421376227341904,0.053759106110724195,0.057206503523943936,0.055767682613784536,0.00016084857737859795,0.044529678754852,0.9927280017496536,0.9941657053103146,-0.7612476281778916,-0.7498353933128036,-0.011480680895866235,32
newton_structure,0.055747918864669024,0.05385783287225989,0.05758991177304937,0.055767682613784536,-5.596701996884654e-05,0.044275794339689575,0.9926004228329807,0.9940824257116168,-0.736169002500753,-0.7498353933128036,0.01275834013705962,32
base_only,0.055767682613784536,0.05381838029815886,0.05727848791734211,0.055767682613784536,0.0,0.044192201962685626,0.992627761172268,0.9940740270758601,-0.7498353933128036,-0.7498353933128036,0.0,32
compact_reservoir,0.05594665180218902,0.054039851085593865,0.05790170240392483,0.055767682613784536,-0.0005052850695753154,0.044537836411546475,0.9927826784282276,0.9940371655586374,-0.7286125607028378,-0.7498353933128036,0.020095754636484553,32
reservoir,0.056225800031821885,0.0542177707256905,0.0584440452027952,0.055767682613784536,-0.000560271225978088,0.04439214329864358,0.9927280017496537,0.9939764404933422,-0.7371956929624262,-0.7498353933128036,0.011777280362571863,32
all_residual,0.05693366312343297,0.054325433452315,0.05946344597338763,0.055767682613784536,-0.0012908615783347628,0.0459676779979704,0.9926095356127431,0.9938286708125519,-0.705299842619777,-0.7498353933128036,0.04571282242241176,32
