permutation,rmse_logj,rmse_improvement_vs_base,resid_a_rho
0,0.0568197828654953,-0.00042383535963161356,-0.7172870241434022
1,0.05817704152282105,-0.001781094016957363,-0.7591668688422337
2,0.05809250434897542,-0.001696556843111735,-0.7475858004345595
3,0.0564154941584253,-1.9546652561611144e-05,-0.7643140103567558
4,0.05852746719904992,-0.002131519693186236,-0.7357674524535208
5,0.057031306490414754,-0.0006353589845510682,-0.7397281961012203
6,0.05970268255788903,-0.0033067350520253405,-0.7519207157171799
7,0.05609465790846556,0.0003012895973981272,-0.7783043790478233
8,0.05672677462313652,-0.0003308271172728361,-0.7495570461209721
9,0.06101918024946166,-0.004623232743597973,-0.7427580737303361
10,0.05624290426158838,0.00015304324427530686,-0.7532896363327443
11,0.060605829809431085,-0.0042098823035673985,-0.7230456168662094
12,0.05904348362051914,-0.0026475361146554507,-0.7392536369544912
13,0.057260839923670606,-0.0008648924178069201,-0.7627260624427011
14,0.056616049525264174,-0.00022010201940048796,-0.7751923661817737
15,0.05660692555163488,-0.00021097804577119295,-0.7615122861635674
16,0.057491133014082534,-0.0010951855082188475,-0.7168215911341103
17,0.05735827547660235,-0.000962327970738662,-0.7243506545197141
18,0.05726400882684356,-0.000868061320979871,-0.7679005823695343
19,0.0597713880383503,-0.0033754405324866107,-0.727672568546817
20,0.05846806275316833,-0.0020721152473046414,-0.7717700646428629
21,0.0583048514000435,-0.001908903894179817,-0.7125231804012383
22,0.058044736087354366,-0.0016487885814906802,-0.7519937248166766
23,0.059949336635505654,-0.003553389129641968,-0.7509898496985962
24,0.05562888749210464,0.0007670600137590494,-0.7260846206327622
25,0.057889637606386095,-0.0014936901005224087,-0.7541566193892684
26,0.05757614631898344,-0.0011801988131197524,-0.7363880297992432
27,0.05704252553042176,-0.0006465780245580727,-0.7084437969668566
28,0.056522278532343484,-0.00012633102647979788,-0.77561216850388
29,0.056733157819962306,-0.0003372103140986196,-0.7075129309482728
30,0.05739060535847641,-0.0009946578526127264,-0.7471203674252678
31,0.05597421655122311,0.000421730954640577,-0.7220691201604402
32,0.058135969159568084,-0.0017400216537043975,-0.7293791562475538
33,0.05997150957865537,-0.0035755620727916868,-0.7178802230768133
34,0.05674699045271807,-0.0003510429468543824,-0.7567758208337149
35,0.057831535465803365,-0.0014355879599396784,-0.7479508459320434
36,0.05612021224870168,0.00027573525716200614,-0.707339534336968
37,0.05659205096866445,-0.00019610346280076602,-0.7162375183381362
38,0.06006756413450325,-0.0036716166286395666,-0.7494931631589126
39,0.05794763209440745,-0.001551684588543767,-0.6687085945657423
40,0.055813078456366204,0.0005828690494974823,-0.7287677050392685
41,0.05921439502465644,-0.0028184475187927535,-0.7424386589200376
42,0.05755032756898015,-0.001154380063116467,-0.7586649312831936
43,0.057799186646315844,-0.0014032391404521574,-0.7268147116277299
44,0.05704550470252612,-0.0006495571966624314,-0.760325888296745
45,0.05709349129113514,-0.0006975437852714539,-0.7286581913900233
