r_kpc,a_b_m_s2,a_qv_m_s2,a_total_m_s2,v_newton_km_s,v_cghstc34_km_s
0.5,3.7169986954035748e-09,6.012425685120196e-10,4.318241263915594e-09,239.47295823160775,258.1152868345393
0.7487437185929648,2.734781237676073e-09,5.157209962667755e-10,3.2505022339428483e-09,251.3640496068537,274.04198399213647
0.9974874371859297,2.096074978094368e-09,4.514991363543092e-10,2.547574114448677e-09,253.99922807351282,280.0221615359501
1.2462311557788945,1.6575476930845116e-09,4.015009098452749e-10,2.0590486029297867e-09,252.46872772038225,281.389490977553
1.4949748743718594,1.3435151681408253e-09,3.614721182292807e-10,1.704987286370106e-09,248.95078864583343,280.44828716231615
1.743718592964824,1.1109532766021388e-09,3.287012943238789e-10,1.4396545709260177e-09,244.49015107275076,278.3188504988299
1.9924623115577889,9.339369283269163e-10,3.0137851671005524e-10,1.2353154450369716e-09,239.62333277659732,275.58734188247456
2.241206030150754,7.960890499549863e-10,2.78249467753237e-10,1.0743385177082232e-09,234.63726564082495,272.57544955619124
2.4899497487437188,6.866518262280317e-10,2.5841743225462614e-10,9.450692584826579e-10,229.68828949414,269.46501123046505
2.738693467336683,5.983223259327726e-10,2.412243369634918e-10,8.395466628962644e-10,224.86123406675833,266.36024481832726
2.987437185929648,5.260017843585356e-10,2.2617631594308491e-10,7.521781003016205e-10,220.2004857120584,263.32070323574067
3.236180904522613,4.66042936819053e-10,2.1289550023824184e-10,6.789384370572949e-10,215.72706420041976,260.37954648188884
3.4849246231155777,4.1578099099407376e-10,2.010878506451965e-10,6.168688416392703e-10,211.44834102672516,257.5540504766524
3.7336683417085426,3.73232345472121e-10,1.905211323788088e-10,5.637534778509298e-10,207.3637214367678,254.851831107266
3.9824120603015074,3.3689583548668293e-10,1.8100948734325558e-10,5.179053228299385e-10,203.46803510215543,252.27461794133407
4.231155778894472,3.05618486443449e-10,1.724024079739077e-10,4.780208944173566e-10,199.75358870554794,249.8205845569585
4.4798994974874375,2.7850291154634266e-10,1.645767140768802e-10,4.4307962562322286e-10,196.21141874900297,247.48580726439354
