object_name,source_family,m51_primary_score,resolved_hi_order_indicator,sfr_sfe_order_indicator,vrot_sigma_order_indicator,m54_organization_score,has_resolved_hi,has_sfr_sfe,direct_dynamic_observable_weight,model_frozen_before_endpoint_join,quality_used_as_physical_feature,trained_on_endpoint_residuals,trained_on_A_inferred,quality_quarantine_flag,proxy_level,organization_label_settled,organization_label_score
UGC04278,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5624436356871746
UGC04499,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.5920079973765785
UGC00128,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.6096578993374148
F563-V2,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5139999488833488
F568-V1,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5512645885929354
UGC07399,direct_sparc_m36_m41,0.0,0.5,0.5,0.5,0.25,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.6108574491711659
UGC06614,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5176439422823711
NGC4157,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.5868819063328693
NGC2841,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5542143616632161
NGC4100,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.6030037652935188
NGC2403,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,0,0.5105108966030939
NGC2998,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.6352352489850656
ESO563-G021,direct_sparc_m36_m41,1.0,0.5,0.5,0.5,0.75,False,False,0.0,True,False,False,False,False,local_M51_proxy_or_direct_context,1,0.5870690582416639
