object_name,source_family,source_type,taxonomy_stage,m51_primary_score,has_resolved_hi,has_sfr_sfe,hi_asymmetry_indicator,ar_mismatch_indicator,sfr_indicator,sfe_indicator,depletion_time_indicator,resolved_hi_order_indicator,sfr_sfe_order_indicator,vrot_sigma_order_indicator,proxy_level,claim_boundary,quality_quarantine_flag,branch_role,organization_label_settled,organization_label_score
UGC08550,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.7975786782299702,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.3667982606803153
NGC3109,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.573996418462721
F563-1,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0025630890815867,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.3601938963593776
UGCA442,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.5838171694017319
UGC06446,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.2907845859520869,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.4290630349142279
UGC05721,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.9095047610213016,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.3396172864748568
D631-7,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.5814637317291326
DDO064,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.5049400129158044
UGC08490,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.9392507109710704,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.4208126060935349
NGC5585,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.7089720417579096,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.510926035600268
UGC07603,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.855329369600873,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,0,0.4272260078380597
UGC06667,direct_sparc_m36_m41,direct_sparc_m36_m41,juvenile_forming,0.0,False,False,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,local_M51_proxy_or_direct_context,diagnostic_proxy_context_not_direct_activation_validation,False,physical_ordering_candidate_or_control,1,0.658059518904229
