object_name,source_family,m51_primary_score,m54_organization_score,proxy_level,model_frozen_before_endpoint_join,quality_quarantine_flag,branch_role,m51_rank,m54_rank,trajectory_rank_shift
NGC0100,direct_sparc_m36_m41,0.889973482387162,0.6949867411935811,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,41.0,41.0,0.0
UGC08286,direct_sparc_m36_m41,0.8649381226476502,0.6824690613238251,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,42.0,42.0,0.0
UGC07603,direct_sparc_m36_m41,0.855329369600873,0.6776646848004365,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,43.0,43.0,0.0
NGC5033,direct_sparc_m36_m41,0.8186458227180256,0.6593229113590128,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,44.0,44.0,0.0
NGC0801,direct_sparc_m36_m41,0.8143284579160999,0.6571642289580499,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,45.0,45.0,0.0
UGC08550,direct_sparc_m36_m41,0.7975786782299702,0.6487893391149852,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,46.0,46.0,0.0
NGC3917,direct_sparc_m36_m41,0.7675428417901886,0.6337714208950943,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,47.0,47.0,0.0
NGC6195,direct_sparc_m36_m41,0.7452045208750374,0.6226022604375188,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,48.0,48.0,0.0
NGC5907,direct_sparc_m36_m41,0.7376746575535738,0.6188373287767869,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,49.0,49.0,0.0
NGC3972,direct_sparc_m36_m41,0.7257610080544021,0.6128805040272011,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,50.0,50.0,0.0
ESO079-G014,direct_sparc_m36_m41,0.7248966280215176,0.6124483140107588,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,51.0,51.0,0.0
NGC5585,direct_sparc_m36_m41,0.7089720417579096,0.6044860208789549,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,52.0,52.0,0.0
ESO116-G012,direct_sparc_m36_m41,0.6621790652921447,0.5810895326460723,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,53.0,53.0,0.0
F579-V1,direct_sparc_m36_m41,0.620649655144032,0.5603248275720161,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,54.0,54.0,0.0
NGC3741,direct_sparc_m36_m41,0.5790697928386082,0.5395348964193041,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,55.0,55.0,0.0
NGC0024,direct_sparc_m36_m41,0.5500511582606858,0.525025579130343,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,56.0,56.0,0.0
DDO161,direct_sparc_m36_m41,0.4893492655250718,0.4946746327625359,local_M51_proxy_or_direct_context,True,False,physical_ordering_candidate_or_control,57.0,57.0,0.0
THINGS:NGC3198,THINGS_M11,0.1718042323224167,0.4359021161612084,resolved_HI_THINGS_M11_transferred_proxy,True,False,physical_ordering_candidate_or_control,81.5,58.0,23.5
