object_name,source_family,m51_primary_score,m54_organization_score,proxy_level,model_frozen_before_endpoint_join,quality_quarantine_flag,branch_role,m51_rank,m54_rank,trajectory_rank_shift
xGASS_xCOLD:GASS114142,xGASS_xCOLD,0.0,0.20439545941848017,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,151.0,-15.5
xGASS_xCOLD:GASS114078,xGASS_xCOLD,0.0,0.20245299410284867,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,152.0,-16.5
xGASS_xCOLD:GASS123001,xGASS_xCOLD,0.0,0.20058685404209445,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,153.0,-17.5
xGASS_xCOLD:GASS112113,xGASS_xCOLD,0.0,0.19864575041578014,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,154.0,-18.5
xGASS_xCOLD:GASS111093,xGASS_xCOLD,0.0,0.19860317885159998,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,155.0,-19.5
xGASS_xCOLD:GASS111054,xGASS_xCOLD,0.0,0.19796485660495056,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,156.0,-20.5
xGASS_xCOLD:GASS124028,xGASS_xCOLD,0.0,0.1978843424137594,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,157.0,-21.5
xGASS_xCOLD:GASS113091,xGASS_xCOLD,0.0,0.19787566759291297,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,158.0,-22.5
xGASS_xCOLD:GASS110036,xGASS_xCOLD,0.0,0.19643435430487163,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,159.0,-23.5
xGASS_xCOLD:GASS122005,xGASS_xCOLD,0.0,0.19339169129527795,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,160.0,-24.5
xGASS_xCOLD:GASS110082,xGASS_xCOLD,0.0,0.19059013107634523,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,161.0,-25.5
xGASS_xCOLD:GASS108119,xGASS_xCOLD,0.0,0.19012256319872423,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,162.0,-26.5
xGASS_xCOLD:GASS101026,xGASS_xCOLD,0.0,0.18646645146670357,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,163.0,-27.5
xGASS_xCOLD:GASS102001,xGASS_xCOLD,0.0,0.18133623513497518,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,164.0,-28.5
xGASS_xCOLD:GASS122004,xGASS_xCOLD,0.0,0.17446944641381965,xGASS_xCOLD_SFR_SFE_proxy,True,False,physical_ordering_candidate_or_control,135.5,165.0,-29.5
